Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.02E+12,461739,449809,-1.059369,53.940509,12,3,2,1,18/01/2016,2,0.003472222,189,E06000014,5,293,1,30,1,4,6,7910,0,0,6,1,1,0,0,1,1,E01013360
2.02E+12,465156,452989,-1.008255,53.968897,12,3,2,1,42771,3,0.64375,189,E06000014,6,1110,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013419
2.02E+12,457286,450791,-1.12702,53.949847,12,3,2,1,18/01/2016,2,0.034722222,189,E06000014,5,413,1,30,1,4,6,5610,0,0,4,1,1,0,0,1,1,E01013445
2.02E+12,464670,456477,-1.014924,54.000302,12,3,2,1,42771,3,0.470138889,189,E06000014,3,64,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013437
2.02E+12,460868,449845,-1.07263,53.940936,12,3,2,1,16/01/2016,7,0.034722222,189,E06000014,3,19,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013362
2.02E+12,459603,452714,-1.092948,53.967094,12,3,2,1,27/04/2017,5,0.739583333,189,E06000014,3,19,6,30,3,4,6,3110,0,0,1,1,1,0,0,1,1,E01013344
2.02E+12,464001,451545,-1.024548,53.955836,12,3,2,1,20/01/2016,4,0,189,E06000014,5,420,6,30,3,4,6,2,0,0,1,1,2,0,0,2,1,E01013420
2.02E+12,459681,451385,-1.090411,53.954915,12,3,1,1,20/01/2016,4,0.002777778,189,E06000014,3,1036,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01033068
2.02E+12,462781,451656,-1.043116,53.956983,12,3,2,1,18/01/2016,2,0.010416667,189,E06000014,5,175,6,30,3,4,6,4110,0,0,4,1,1,0,0,1,2,E01013398
2.02E+12,457621,451447,-1.121792,53.955706,12,3,2,1,19/01/2016,3,0.013888889,189,E06000014,4,1224,6,30,3,4,5,285,0,0,4,1,1,0,0,1,2,E01013394
2.02E+12,458952,451255,-1.101546,53.95383,12,3,2,1,22/01/2016,6,0.03125,189,E06000014,3,59,6,30,3,4,6,5710,0,0,1,2,2,0,0,1,2,E01013391
2.02E+12,464154,455243,-1.021438,53.989053,12,3,1,2,24/01/2016,1,0.017361111,189,E06000014,3,64,1,70,1,4,3,64,0,0,4,1,2,0,0,2,1,E01013437
2.02E+12,468692,451211,-0.953139,53.952233,12,3,2,1,25/01/2016,2,0,189,E06000014,3,1079,6,40,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013351
2.02E+12,459072,450436,-1.099875,53.946455,12,3,3,2,27/01/2016,4,0.025,189,E06000014,3,1036,6,30,3,4,6,5711,0,0,1,1,2,0,0,1,1,E01013358
2.02E+12,460252,452520,-1.081486,53.965049,12,3,2,1,21/02/2016,1,0.020833333,189,E06000014,4,1363,6,30,3,2,3,1036,0,0,4,2,2,0,0,1,2,E01013366
2.02E+12,462425,451866,-1.048498,53.958914,12,3,1,1,27/01/2016,4,0.034722222,189,E06000014,5,408,6,30,3,2,6,4111,0,4,4,1,2,0,0,1,1,E01013401
2.02E+12,456276,449540,-1.14264,53.938714,12,3,1,1,29/01/2016,6,0.017361111,189,E06000014,5,285,6,40,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01013421
2.02E+12,460382,452118,-1.079584,53.961421,12,3,2,1,42522,4,0.024305556,189,E06000014,6,7210,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,2,E01013366
2.02E+12,456836,451508,-1.133743,53.956341,12,3,2,1,29/01/2016,6,0.017361111,189,E06000014,3,1224,1,30,1,4,5,413,0,0,4,4,2,0,0,1,1,E01013442
2.02E+12,459815,451543,-1.088338,53.956319,12,3,2,1,29/01/2016,6,0.013194444,189,E06000014,6,7110,6,30,3,4,6,7110,0,0,4,1,1,0,0,1,1,E01033068
